,delta_ec,theta_ec,alpha_ec,beta_ec,gamma_ec,delta_eo,theta_eo,alpha_eo,beta_eo,gamma_eo,group
sub-101,3.020133521062943e-09,1.539406157655405e-09,5.248137876537198e-09,2.121941169789982e-10,3.910640623125411e-11,2.769370173165133e-09,9.095586256704829e-10,2.369926881835724e-09,1.9809641419604403e-10,9.23033793018762e-11,c
sub-102,2.99454937649087e-09,6.659785996589436e-10,2.678893255913728e-09,3.207641232743636e-10,1.260937782830254e-10,2.6979699081175646e-09,7.402211983502506e-10,5.863482394164629e-10,1.876960570510763e-10,1.2195811368185434e-10,c
sub-103,3.2271335200376836e-09,1.0948358701646932e-09,6.480676916070083e-09,2.263168474468593e-10,9.91833642652753e-11,2.5996830466600726e-09,5.104504513020925e-10,1.2799606434392695e-09,1.0256609047928213e-10,7.443492839908687e-11,e
sub-104,2.836786869569595e-09,5.689494776443873e-10,1.2800576427370135e-09,8.445991556072362e-11,5.702150095966972e-11,1.450693060788282e-09,2.688905578214654e-10,2.3142046511922254e-10,5.6126652476978505e-11,3.6760227368808356e-11,e
sub-105,2.7367392453972854e-09,1.0851493810748261e-09,5.873869401080984e-09,4.3914334256948244e-10,4.741046129375382e-11,1.9015039969186113e-09,6.188808626807497e-10,1.5339631925382557e-09,3.3499791901702604e-10,5.186787964973083e-11,e
sub-106,7.550963795892205e-10,2.0930812371101696e-10,3.9683803029235325e-10,1.1210548054429406e-10,3.2800067828657665e-11,7.197066349609536e-10,1.8660359464159e-10,2.3559322378544766e-10,9.042935872469173e-11,2.495981852153837e-11,e
sub-107,3.2157604207781097e-09,1.6520288373763696e-09,2.4719977011957655e-09,1.3749733173915084e-10,4.219110389452538e-11,2.11969555639523e-09,8.646044468117093e-10,1.0091290814584773e-09,9.356341537261483e-11,2.4988701908890294e-11,e
sub-108,1.3151844417032045e-09,3.385717397990697e-10,1.9087590429934064e-09,1.2858332245655161e-10,5.255037172130123e-11,1.2763861920972364e-09,3.0489415232464646e-10,2.8699892517417416e-10,9.525914010682211e-11,5.0154614498360335e-11,e
sub-109,2.3560791582506726e-09,3.5990955818818974e-09,2.448830788988392e-09,2.347275681398158e-10,7.428646737485992e-11,1.9238730211022e-09,1.7867724566221737e-09,1.9802908371886083e-09,2.0187305461847637e-10,1.1492365629816601e-10,e
sub-110,2.374488778272563e-09,1.0887368512423125e-09,6.016595993106452e-09,3.8717372942983054e-10,1.0816569790547086e-10,2.0103818966571125e-09,7.642470332494402e-10,2.954799973589113e-09,2.6699413809005125e-10,8.902812766243384e-11,c
sub-111,1.2395899298670772e-09,3.484833888938426e-10,2.6492191909728703e-09,2.684324893756548e-10,1.030347633690597e-10,1.3484131409948497e-09,3.318809550923868e-10,3.671257597634562e-10,1.4542699835078333e-10,7.20053555032643e-11,e
sub-112,3.084218055893234e-09,1.1800938822082125e-09,2.377722814908082e-09,1.481847228173099e-10,8.098718074304804e-11,2.6951128598569128e-09,6.336149216542875e-10,4.3222618367471576e-10,1.0335828478809825e-10,5.657807394479682e-11,e
sub-113,3.2059317326057074e-09,5.699448373848732e-10,1.1790896233837217e-09,8.511870428620962e-11,9.586763504700269e-11,2.2898096751423167e-09,4.0427542119612704e-10,6.766126423133913e-10,7.25065134437912e-11,7.099853952204369e-11,c
sub-114,1.927227867032203e-09,2.7427880380257015e-10,1.0439407673921317e-09,6.003948122225585e-11,2.8706965287078308e-11,1.6087834391129964e-09,2.478366626310527e-10,2.635640661076438e-10,6.379261941770892e-11,5.3276433055023406e-11,e
sub-115,1.5218545202963674e-09,2.662631649188459e-10,4.3997184476328064e-10,8.480779886782878e-11,6.459033471423987e-11,1.5861336668762155e-09,2.9615604378402516e-10,1.5192773990849987e-10,1.2942782429419965e-10,1.0527825196484456e-10,c
sub-116,1.7414705993658558e-09,4.573115539556029e-10,5.204716489729419e-10,1.1507633826406331e-10,2.5681830606886074e-11,1.7621704206814948e-09,4.744297689634376e-10,3.5414665464802183e-10,1.1460135307936667e-10,3.223961047325344e-11,e
sub-118,1.9331310798870826e-09,4.583314101494849e-10,3.0089048877296815e-09,1.5262849082863476e-10,9.877319946875682e-11,2.0329945100316538e-09,4.1803673298298906e-10,1.3748837046952309e-09,1.7485572502187713e-10,1.4198372952307325e-10,c
sub-119,3.7251942840799663e-09,1.7638988894573301e-09,1.8234564208870319e-09,2.3180071191559344e-10,8.480477843657782e-11,1.9647790910813573e-09,1.3188481950864203e-09,2.0620133441186224e-09,1.977606842668074e-10,7.138944291067303e-11,e
sub-120,1.6273250059510583e-09,4.1312346008239455e-10,3.268648722642794e-10,8.485700844318062e-11,4.918585092687062e-11,1.5892971567292359e-09,3.800354061931274e-10,2.273696324671639e-10,7.105543771357014e-11,2.6202701667474024e-11,c
