,delta_ec,theta_ec,alpha_ec,beta_ec,gamma_ec,delta_eo,theta_eo,alpha_eo,beta_eo,gamma_eo,group
sub-002,2.1280905018176194e-09,8.232481029213892e-10,2.4038858325804986e-09,2.0143492248332952e-10,6.281581885078704e-11,2.6695069897469488e-09,9.37507366588918e-10,1.0894621999707523e-09,1.6467226267813692e-10,5.491585010929186e-11,e
sub-003,2.488786142049907e-09,7.544513666245902e-10,3.968494572562496e-09,3.056496659826583e-10,9.444339734474114e-11,2.0965573563161274e-09,5.41554287475185e-10,1.1145533966083728e-09,2.8867275790459113e-10,1.2562435412923582e-10,c
sub-004,1.3253606522450137e-09,5.627092083876679e-10,8.647404135632614e-10,2.7730515366504694e-10,2.519000778614912e-11,1.2808409735661368e-09,5.296345308076318e-10,5.995255472111396e-10,2.352565049500076e-10,3.364685335019929e-11,e
sub-005,1.4768951739334667e-09,9.174387040823921e-10,2.7169223527197972e-09,1.2494538725966538e-10,1.8946334595460036e-11,1.393345400596603e-09,4.571266651307037e-10,8.952699479830126e-10,8.724710473312758e-11,2.9509802645744787e-11,c
sub-006,1.0809124843230335e-09,2.982702421818291e-10,1.219230318512142e-09,7.247935128608323e-11,2.174819381107473e-11,1.3218530222198576e-09,2.5058108290829784e-10,3.679165677965522e-10,6.822074788535705e-11,2.5754484469682837e-11,c
sub-007,9.354172595153204e-10,2.2949168438423614e-10,2.790287533106395e-10,3.9070677628700043e-11,1.7438334469753234e-11,1.008159917319787e-09,2.373822908375093e-10,1.3584533069834447e-10,4.164863211765802e-11,1.960304809341379e-11,e
sub-008,1.0237815708648e-09,3.343850589148425e-10,2.448108194326523e-09,8.665351824353163e-11,3.282286880356331e-11,1.1701715423560924e-09,3.1741551501638294e-10,3.3265745909234435e-10,6.769902495962283e-11,3.1219243838223156e-11,e
sub-009,2.166573834940338e-09,6.757432087934972e-10,2.3834643513569774e-10,1.0214444564015034e-10,3.916563774656183e-11,1.634218141725896e-09,3.1614423040900595e-10,3.1870967830803504e-10,1.5850635411236587e-10,6.358346531974197e-11,c
sub-010,1.6528344342237038e-09,6.880600168647117e-10,7.608328249310324e-10,1.5701507099593365e-10,3.6275634499811745e-11,1.939017077548996e-09,6.326088363675307e-10,5.642567375656933e-10,1.6831717814168126e-10,3.793874219807188e-11,c
sub-011,3.021070144703467e-09,2.9565271947420677e-09,3.244564780109353e-09,2.0877024477862075e-10,3.9834328754983284e-11,2.7255380416384835e-09,2.6463264444073343e-09,3.450505360646085e-09,2.219086333316502e-10,8.579021302793045e-11,c
