,group,participant_id,city,condition,trial_number,gamma
0,c,sub-101,krk,ec,0,12.446421862664252
1,c,sub-101,krk,ec,1,11.614120261069974
2,c,sub-101,krk,ec,2,11.398782339649737
3,c,sub-101,krk,ec,3,11.818003589611996
4,c,sub-101,krk,ec,4,11.622930989693028
5,c,sub-101,krk,ec,5,11.635856006924724
6,c,sub-101,krk,ec,6,11.44215749675264
7,c,sub-101,krk,ec,7,11.803941096345657
8,c,sub-101,krk,ec,8,10.998176450582505
9,c,sub-101,krk,ec,9,10.922292265807208
10,c,sub-101,krk,ec,10,10.006704086300152
11,c,sub-101,krk,ec,11,9.739369110729642
12,c,sub-101,krk,ec,12,10.059713430879892
13,c,sub-101,krk,ec,13,10.670784051501437
14,c,sub-101,krk,ec,14,10.968492786306456
15,c,sub-101,krk,ec,15,10.032310311931766
16,c,sub-101,krk,ec,16,10.876511837890709
17,c,sub-101,krk,ec,17,11.004246237899569
18,c,sub-101,krk,ec,18,9.520166171054347
19,c,sub-101,krk,ec,19,10.147359603470706
20,c,sub-101,krk,ec,20,13.880937912143557
21,c,sub-101,krk,ec,21,11.053325238608588
22,c,sub-101,krk,ec,22,11.60196691869917
23,c,sub-101,krk,ec,23,12.37073208743243
24,c,sub-101,krk,ec,24,12.029350508045717
25,c,sub-101,krk,ec,25,12.370226307488057
26,c,sub-101,krk,ec,26,11.507197891311877
27,c,sub-101,krk,ec,27,12.231102450119428
28,c,sub-101,krk,ec,28,12.914175472406397
29,c,sub-101,krk,ec,29,12.981072003365922
30,c,sub-101,krk,ec,30,12.600785702636896
31,c,sub-101,krk,ec,31,13.023586259892793
32,c,sub-101,krk,ec,32,11.981863836995545
33,c,sub-101,krk,ec,33,13.001563692915607
34,c,sub-101,krk,ec,34,12.59231561156509
35,c,sub-101,krk,ec,35,12.338096043378183
36,c,sub-101,krk,ec,36,12.61473891901623
37,c,sub-101,krk,ec,37,13.00415480121606
38,c,sub-101,krk,ec,38,12.45751117494555
39,c,sub-101,krk,ec,39,13.172722434995881
40,c,sub-101,krk,ec,40,12.516854666024695
41,c,sub-101,krk,ec,41,12.692813410730228
42,c,sub-101,krk,ec,42,12.855986667760734
43,c,sub-101,krk,ec,43,12.627755927211995
44,c,sub-101,krk,ec,44,12.389951679225247
45,c,sub-101,krk,ec,45,15.118314959361847
46,c,sub-101,krk,ec,46,14.20092324580635
47,c,sub-101,krk,ec,47,12.938652850464319
48,c,sub-101,krk,ec,48,12.340769706201169
49,c,sub-101,krk,ec,49,12.91186207061636
50,c,sub-101,krk,ec,50,12.983808392690941
51,c,sub-101,krk,ec,51,14.346815067122153
52,c,sub-101,krk,ec,52,11.73506375516157
53,c,sub-101,krk,ec,53,11.168543455258256
54,c,sub-101,krk,ec,54,11.116398802564989
55,c,sub-101,krk,ec,55,11.077691469293395
56,c,sub-101,krk,ec,56,12.330245216678028
57,c,sub-101,krk,ec,57,12.590433701499554
58,c,sub-101,krk,ec,58,12.264137004963752
59,c,sub-101,krk,ec,59,11.409243452887948
60,c,sub-101,krk,ec,60,11.379319824068112
61,c,sub-101,krk,ec,61,9.794795418910258
62,c,sub-101,krk,ec,62,11.0482013264201
63,c,sub-101,krk,ec,63,11.770445814795787
64,c,sub-101,krk,ec,64,12.048627525259564
65,c,sub-101,krk,ec,65,12.332753751427774
66,c,sub-101,krk,ec,66,12.373581400947115
67,c,sub-101,krk,ec,67,11.921152272960038
68,c,sub-101,krk,ec,68,12.092392309056594
69,c,sub-101,krk,ec,69,11.484359875515468
70,c,sub-101,krk,ec,70,13.944481201981516
71,c,sub-101,krk,ec,71,13.526725119526965
0,c,sub-101,krk,eo,0,19.68163046692209
1,c,sub-101,krk,eo,1,19.17843403989901
2,c,sub-101,krk,eo,2,16.730663549372444
3,c,sub-101,krk,eo,3,13.037353465746268
4,c,sub-101,krk,eo,4,13.178321013681762
5,c,sub-101,krk,eo,5,13.551072509444337
6,c,sub-101,krk,eo,6,13.597090932446202
7,c,sub-101,krk,eo,7,13.126984108084551
8,c,sub-101,krk,eo,8,12.219266244515001
9,c,sub-101,krk,eo,9,12.866025927882689
10,c,sub-101,krk,eo,10,11.73445600165461
11,c,sub-101,krk,eo,11,12.54691327462003
12,c,sub-101,krk,eo,12,12.015015358850672
13,c,sub-101,krk,eo,13,12.719628850351679
14,c,sub-101,krk,eo,14,11.812825260363834
15,c,sub-101,krk,eo,15,12.562110470385182
16,c,sub-101,krk,eo,16,12.591184371259077
17,c,sub-101,krk,eo,17,12.993664704661716
18,c,sub-101,krk,eo,18,12.727557063186707
19,c,sub-101,krk,eo,19,12.586077948651694
20,c,sub-101,krk,eo,20,12.913200519864427
21,c,sub-101,krk,eo,21,13.012621919592364
22,c,sub-101,krk,eo,22,12.251771122713768
23,c,sub-101,krk,eo,23,12.453904642115598
24,c,sub-101,krk,eo,24,12.968544672572715
25,c,sub-101,krk,eo,25,12.652434144064092
26,c,sub-101,krk,eo,26,12.007921729561398
27,c,sub-101,krk,eo,27,12.662787740014272
28,c,sub-101,krk,eo,28,13.08712449314207
29,c,sub-101,krk,eo,29,14.495824457949517
30,c,sub-101,krk,eo,30,21.0565623436867
31,c,sub-101,krk,eo,31,12.910850551166911
32,c,sub-101,krk,eo,32,12.537637199038173
33,c,sub-101,krk,eo,33,12.182255246051664
34,c,sub-101,krk,eo,34,12.049153915049647
35,c,sub-101,krk,eo,35,13.161740114598286
36,c,sub-101,krk,eo,36,12.777582853413994
37,c,sub-101,krk,eo,37,11.440732343602145
38,c,sub-101,krk,eo,38,12.550874723028324
39,c,sub-101,krk,eo,39,13.478399661273336
40,c,sub-101,krk,eo,40,15.185663544487943
41,c,sub-101,krk,eo,41,14.287063581101561
42,c,sub-101,krk,eo,42,14.809269556647008
43,c,sub-101,krk,eo,43,13.517657583744011
44,c,sub-101,krk,eo,44,13.170736776587413
45,c,sub-101,krk,eo,45,13.405069300194555
46,c,sub-101,krk,eo,46,13.589055334948691
47,c,sub-101,krk,eo,47,12.94640401942453
48,c,sub-101,krk,eo,48,13.577154024550433
49,c,sub-101,krk,eo,49,13.547174749681798
50,c,sub-101,krk,eo,50,13.100024317853402
51,c,sub-101,krk,eo,51,13.67951469777202
52,c,sub-101,krk,eo,52,14.416739552424641
53,c,sub-101,krk,eo,53,13.367768739465307
54,c,sub-101,krk,eo,54,13.350930213456309
55,c,sub-101,krk,eo,55,12.682073590163325
56,c,sub-101,krk,eo,56,12.549817520601621
57,c,sub-101,krk,eo,57,12.730787331397092
58,c,sub-101,krk,eo,58,12.800687626912346
59,c,sub-101,krk,eo,59,12.838688445254585
60,c,sub-101,krk,eo,60,13.51352170899638
61,c,sub-101,krk,eo,61,13.796854050068795
62,c,sub-101,krk,eo,62,16.2589428074483
63,c,sub-101,krk,eo,63,12.911355547296473
64,c,sub-101,krk,eo,64,12.634806503695467
65,c,sub-101,krk,eo,65,12.609253551482135
66,c,sub-101,krk,eo,66,13.699487739696146
67,c,sub-101,krk,eo,67,12.918657067279181
68,c,sub-101,krk,eo,68,13.560609916075032
69,c,sub-101,krk,eo,69,13.164535668837463
70,c,sub-101,krk,eo,70,12.91532596252125
71,c,sub-101,krk,eo,71,15.99436768189344
72,c,sub-101,krk,eo,72,14.419374875037096
73,c,sub-101,krk,eo,73,13.51758859289579
0,c,sub-102,krk,ec,0,20.76519418911904
1,c,sub-102,krk,ec,1,19.95822790883747
2,c,sub-102,krk,ec,2,19.73701189176226
3,c,sub-102,krk,ec,3,19.954377718547317
4,c,sub-102,krk,ec,4,20.91051902559584
5,c,sub-102,krk,ec,5,21.200919385930124
6,c,sub-102,krk,ec,6,20.79240475164969
7,c,sub-102,krk,ec,7,20.210811728144076
8,c,sub-102,krk,ec,8,20.144151912512214
9,c,sub-102,krk,ec,9,19.271472805141197
10,c,sub-102,krk,ec,10,19.67528190241862
11,c,sub-102,krk,ec,11,21.142304852163075
12,c,sub-102,krk,ec,12,20.55556833025149
13,c,sub-102,krk,ec,13,19.596647459163677
14,c,sub-102,krk,ec,14,20.831097729432106
15,c,sub-102,krk,ec,15,21.136166249046493
16,c,sub-102,krk,ec,16,20.827140920744306
17,c,sub-102,krk,ec,17,20.997765887114973
18,c,sub-102,krk,ec,18,20.283409590920957
19,c,sub-102,krk,ec,19,20.722644828038327
20,c,sub-102,krk,ec,20,19.63372300896019
21,c,sub-102,krk,ec,21,20.17088447355138
22,c,sub-102,krk,ec,22,21.380407771199337
23,c,sub-102,krk,ec,23,19.933384729323098
24,c,sub-102,krk,ec,24,20.96763307841651
25,c,sub-102,krk,ec,25,20.98084324697967
26,c,sub-102,krk,ec,26,20.1460330445852
27,c,sub-102,krk,ec,27,20.863627895941658
28,c,sub-102,krk,ec,28,21.642519081293873
29,c,sub-102,krk,ec,29,20.289720871332175
30,c,sub-102,krk,ec,30,20.322844635000397
31,c,sub-102,krk,ec,31,20.678122791533056
32,c,sub-102,krk,ec,32,19.958035027309577
33,c,sub-102,krk,ec,33,21.083864964319265
34,c,sub-102,krk,ec,34,19.94800562807469
35,c,sub-102,krk,ec,35,20.26361833968261
36,c,sub-102,krk,ec,36,20.9339317601614
37,c,sub-102,krk,ec,37,20.038164039738014
38,c,sub-102,krk,ec,38,20.51794863317847
39,c,sub-102,krk,ec,39,21.021381980700315
40,c,sub-102,krk,ec,40,20.508413193767314
41,c,sub-102,krk,ec,41,20.34836141859891
42,c,sub-102,krk,ec,42,20.46346676866942
43,c,sub-102,krk,ec,43,20.111914659324253
44,c,sub-102,krk,ec,44,20.862532851465737
45,c,sub-102,krk,ec,45,20.736169910020283
46,c,sub-102,krk,ec,46,21.29489302106786
47,c,sub-102,krk,ec,47,20.039010366526917
48,c,sub-102,krk,ec,48,20.60453420213055
49,c,sub-102,krk,ec,49,21.588687197291407
50,c,sub-102,krk,ec,50,20.59591964944799
51,c,sub-102,krk,ec,51,19.906722744518653
52,c,sub-102,krk,ec,52,21.317164698020218
53,c,sub-102,krk,ec,53,20.980679451662716
54,c,sub-102,krk,ec,54,21.150847696197683
55,c,sub-102,krk,ec,55,20.55779303662805
56,c,sub-102,krk,ec,56,20.6245638176045
57,c,sub-102,krk,ec,57,21.11542735143694
58,c,sub-102,krk,ec,58,19.82882278317396
59,c,sub-102,krk,ec,59,20.593214762678954
60,c,sub-102,krk,ec,60,20.54768012182447
61,c,sub-102,krk,ec,61,20.639007488829144
62,c,sub-102,krk,ec,62,20.729043896279453
63,c,sub-102,krk,ec,63,20.95189376501555
64,c,sub-102,krk,ec,64,20.089739236544958
65,c,sub-102,krk,ec,65,20.154272179204405
66,c,sub-102,krk,ec,66,20.864254372745446
67,c,sub-102,krk,ec,67,20.978406661384717
68,c,sub-102,krk,ec,68,20.079419448074454
69,c,sub-102,krk,ec,69,21.490830972356466
70,c,sub-102,krk,ec,70,20.924618844691626
71,c,sub-102,krk,ec,71,20.397581266072585
0,c,sub-102,krk,eo,0,20.262049964893457
1,c,sub-102,krk,eo,1,19.858573549965655
2,c,sub-102,krk,eo,2,20.112943873255002
3,c,sub-102,krk,eo,3,20.361837785845747
4,c,sub-102,krk,eo,4,19.291051917085984
5,c,sub-102,krk,eo,5,19.63651842038135
6,c,sub-102,krk,eo,6,20.01063564317941
7,c,sub-102,krk,eo,7,20.16154768427779
8,c,sub-102,krk,eo,8,19.299553682839917
9,c,sub-102,krk,eo,9,19.754193951740707
10,c,sub-102,krk,eo,10,19.023239755937624
11,c,sub-102,krk,eo,11,20.185161700543773
12,c,sub-102,krk,eo,12,20.14112555164808
13,c,sub-102,krk,eo,13,19.67568056967908
14,c,sub-102,krk,eo,14,20.19912052173109
15,c,sub-102,krk,eo,15,20.215875413674972
16,c,sub-102,krk,eo,16,19.06169133693847
17,c,sub-102,krk,eo,17,20.147016623946133
18,c,sub-102,krk,eo,18,19.35150794237832
19,c,sub-102,krk,eo,19,19.841583250137436
20,c,sub-102,krk,eo,20,19.944058155981292
21,c,sub-102,krk,eo,21,19.433134943118095
22,c,sub-102,krk,eo,22,20.440868521500022
23,c,sub-102,krk,eo,23,21.048302884321703
24,c,sub-102,krk,eo,24,19.97647510413053
25,c,sub-102,krk,eo,25,19.97685126014336
26,c,sub-102,krk,eo,26,20.542466403990005
27,c,sub-102,krk,eo,27,21.17135799416205
28,c,sub-102,krk,eo,28,20.59690793520395
29,c,sub-102,krk,eo,29,20.578978401213213
30,c,sub-102,krk,eo,30,21.43442070662724
31,c,sub-102,krk,eo,31,20.19689538403837
32,c,sub-102,krk,eo,32,20.8820745641525
33,c,sub-102,krk,eo,33,19.875064884805163
34,c,sub-102,krk,eo,34,22.359147517454954
35,c,sub-102,krk,eo,35,18.772914266461687
36,c,sub-102,krk,eo,36,19.49671527757893
37,c,sub-102,krk,eo,37,19.748869862479342
38,c,sub-102,krk,eo,38,20.16238052262613
39,c,sub-102,krk,eo,39,20.406038339740032
40,c,sub-102,krk,eo,40,20.324464868907626
41,c,sub-102,krk,eo,41,19.16595998588487
42,c,sub-102,krk,eo,42,19.84694986379944
43,c,sub-102,krk,eo,43,19.846056365587817
44,c,sub-102,krk,eo,44,20.310260421881296
45,c,sub-102,krk,eo,45,19.80441494173805
46,c,sub-102,krk,eo,46,20.392485539200678
47,c,sub-102,krk,eo,47,19.922770957993873
48,c,sub-102,krk,eo,48,20.448207960518342
49,c,sub-102,krk,eo,49,20.584768506748212
50,c,sub-102,krk,eo,50,20.172169223328375
51,c,sub-102,krk,eo,51,20.37752682930164
52,c,sub-102,krk,eo,52,20.170332584373003
53,c,sub-102,krk,eo,53,20.894963908490574
54,c,sub-102,krk,eo,54,19.7180894911779
55,c,sub-102,krk,eo,55,20.277683030305756
56,c,sub-102,krk,eo,56,20.996864435789533
57,c,sub-102,krk,eo,57,21.017241356347526
58,c,sub-102,krk,eo,58,21.457575953668737
59,c,sub-102,krk,eo,59,20.682266315503654
60,c,sub-102,krk,eo,60,21.10674022143303
61,c,sub-102,krk,eo,61,21.63077502928926
62,c,sub-102,krk,eo,62,21.46767091597703
63,c,sub-102,krk,eo,63,20.620412327632692
64,c,sub-102,krk,eo,64,20.155274673758413
65,c,sub-102,krk,eo,65,21.057946626326103
66,c,sub-102,krk,eo,66,22.711355283207702
67,c,sub-102,krk,eo,67,21.149985756239293
68,c,sub-102,krk,eo,68,21.26759186394974
69,c,sub-102,krk,eo,69,21.657455049403936
70,c,sub-102,krk,eo,70,21.42370252206251
71,c,sub-102,krk,eo,71,20.895793851346514
72,c,sub-102,krk,eo,72,21.503809965863528
73,c,sub-102,krk,eo,73,21.070105498397393
0,e,sub-103,krk,ec,0,26.761985916635336
1,e,sub-103,krk,ec,1,17.851831485178774
2,e,sub-103,krk,ec,2,19.978262137737698
3,e,sub-103,krk,ec,3,18.98467718585643
4,e,sub-103,krk,ec,4,20.083297281006747
5,e,sub-103,krk,ec,5,19.59758496587982
6,e,sub-103,krk,ec,6,17.714540896236723
7,e,sub-103,krk,ec,7,17.84288233252609
8,e,sub-103,krk,ec,8,18.786829941816983
9,e,sub-103,krk,ec,9,18.65651866600394
10,e,sub-103,krk,ec,10,18.133712354761744
11,e,sub-103,krk,ec,11,20.280431152504377
12,e,sub-103,krk,ec,12,23.453758997794917
13,e,sub-103,krk,ec,13,18.463742261413472
14,e,sub-103,krk,ec,14,17.01434365361907
15,e,sub-103,krk,ec,15,19.553143486145856
16,e,sub-103,krk,ec,16,16.945238264086946
17,e,sub-103,krk,ec,17,19.30679227521899
18,e,sub-103,krk,ec,18,26.242301626953406
19,e,sub-103,krk,ec,19,17.317560101080574
20,e,sub-103,krk,ec,20,17.48138967652345
21,e,sub-103,krk,ec,21,17.386521701265238
22,e,sub-103,krk,ec,22,16.41254892381037
23,e,sub-103,krk,ec,23,17.814165548194254
24,e,sub-103,krk,ec,24,18.336407350964066
25,e,sub-103,krk,ec,25,18.770219203554035
26,e,sub-103,krk,ec,26,19.380607107588222
27,e,sub-103,krk,ec,27,24.61569729741334
28,e,sub-103,krk,ec,28,17.50664115352099
29,e,sub-103,krk,ec,29,16.31452034559913
30,e,sub-103,krk,ec,30,16.664979404228674
31,e,sub-103,krk,ec,31,15.754210065951682
32,e,sub-103,krk,ec,32,16.648225666706193
33,e,sub-103,krk,ec,33,17.54648642268896
34,e,sub-103,krk,ec,34,18.64902931252306
35,e,sub-103,krk,ec,35,16.21424769207038
36,e,sub-103,krk,ec,36,16.771712890136772
37,e,sub-103,krk,ec,37,26.208112859265874
38,e,sub-103,krk,ec,38,19.633031271213984
39,e,sub-103,krk,ec,39,17.434726517313585
40,e,sub-103,krk,ec,40,16.679674963292033
41,e,sub-103,krk,ec,41,18.293194722855834
42,e,sub-103,krk,ec,42,16.57195309869647
43,e,sub-103,krk,ec,43,17.669944315948193
44,e,sub-103,krk,ec,44,16.381872365911082
45,e,sub-103,krk,ec,45,17.154706275073842
46,e,sub-103,krk,ec,46,16.708190832942616
47,e,sub-103,krk,ec,47,16.56709782634732
48,e,sub-103,krk,ec,48,17.22475813702396
49,e,sub-103,krk,ec,49,18.016888091521093
50,e,sub-103,krk,ec,50,17.295579261125134
51,e,sub-103,krk,ec,51,21.575008022594314
52,e,sub-103,krk,ec,52,18.00448541139666
53,e,sub-103,krk,ec,53,17.281110759158967
54,e,sub-103,krk,ec,54,17.9593522567002
55,e,sub-103,krk,ec,55,16.8816911549499
56,e,sub-103,krk,ec,56,18.141042447818393
57,e,sub-103,krk,ec,57,16.287949764102457
58,e,sub-103,krk,ec,58,16.578785024505326
59,e,sub-103,krk,ec,59,18.620908705938724
60,e,sub-103,krk,ec,60,17.916964020999217
61,e,sub-103,krk,ec,61,16.01235112009162
62,e,sub-103,krk,ec,62,16.580232971545577
63,e,sub-103,krk,ec,63,16.191729312026276
64,e,sub-103,krk,ec,64,16.40884080446826
65,e,sub-103,krk,ec,65,16.446934151819004
66,e,sub-103,krk,ec,66,17.1299900407623
67,e,sub-103,krk,ec,67,24.536676892754127
68,e,sub-103,krk,ec,68,25.565890941431203
69,e,sub-103,krk,ec,69,18.360906376764344
70,e,sub-103,krk,ec,70,15.893348410119046
71,e,sub-103,krk,ec,71,17.337822653970317
72,e,sub-103,krk,ec,72,16.95401146004283
0,e,sub-103,krk,eo,0,24.057790073780378
1,e,sub-103,krk,eo,1,19.416718919840356
2,e,sub-103,krk,eo,2,18.246622745418193
3,e,sub-103,krk,eo,3,20.22265659614105
4,e,sub-103,krk,eo,4,18.317889288364714
5,e,sub-103,krk,eo,5,18.700207883939896
6,e,sub-103,krk,eo,6,18.157328520672117
7,e,sub-103,krk,eo,7,17.326252710908825
8,e,sub-103,krk,eo,8,17.767987816358733
9,e,sub-103,krk,eo,9,18.05100016813584
10,e,sub-103,krk,eo,10,19.094318699116773
11,e,sub-103,krk,eo,11,17.284536583545027
12,e,sub-103,krk,eo,12,17.88902011486338
13,e,sub-103,krk,eo,13,19.58911019690562
14,e,sub-103,krk,eo,14,18.636186502950647
15,e,sub-103,krk,eo,15,16.892672494312563
16,e,sub-103,krk,eo,16,18.74108625910649
17,e,sub-103,krk,eo,17,16.599090928603438
18,e,sub-103,krk,eo,18,17.63178093718336
19,e,sub-103,krk,eo,19,16.556398052276144
20,e,sub-103,krk,eo,20,24.489206433795626
21,e,sub-103,krk,eo,21,17.53023769726021
22,e,sub-103,krk,eo,22,16.864260689616607
23,e,sub-103,krk,eo,23,17.372352566446494
24,e,sub-103,krk,eo,24,18.146078928806507
25,e,sub-103,krk,eo,25,17.90934731994136
26,e,sub-103,krk,eo,26,17.067767246367367
27,e,sub-103,krk,eo,27,17.681971198224204
28,e,sub-103,krk,eo,28,17.568828791974404
29,e,sub-103,krk,eo,29,16.97394073632796
30,e,sub-103,krk,eo,30,16.486244940664445
31,e,sub-103,krk,eo,31,16.199456142440205
32,e,sub-103,krk,eo,32,16.189092756013054
33,e,sub-103,krk,eo,33,16.177583107524523
34,e,sub-103,krk,eo,34,16.72239853402097
35,e,sub-103,krk,eo,35,16.122839364361273
36,e,sub-103,krk,eo,36,16.550695863907304
37,e,sub-103,krk,eo,37,17.08734694735766
38,e,sub-103,krk,eo,38,17.00438212077118
39,e,sub-103,krk,eo,39,20.87952280088514
40,e,sub-103,krk,eo,40,18.01208115815617
41,e,sub-103,krk,eo,41,18.62779504838835
42,e,sub-103,krk,eo,42,16.77044119006587
43,e,sub-103,krk,eo,43,18.02416507435246
44,e,sub-103,krk,eo,44,16.75580043474759
45,e,sub-103,krk,eo,45,17.267222962113333
46,e,sub-103,krk,eo,46,16.586189889105118
47,e,sub-103,krk,eo,47,17.242314361799796
48,e,sub-103,krk,eo,48,16.748287739574764
49,e,sub-103,krk,eo,49,16.712209686347183
50,e,sub-103,krk,eo,50,17.723036064283136
51,e,sub-103,krk,eo,51,17.000429066834602
52,e,sub-103,krk,eo,52,17.19449572160179
53,e,sub-103,krk,eo,53,17.926228552585464
54,e,sub-103,krk,eo,54,17.476858471379934
55,e,sub-103,krk,eo,55,16.240485873207042
56,e,sub-103,krk,eo,56,18.178144026023617
57,e,sub-103,krk,eo,57,16.359310681318277
58,e,sub-103,krk,eo,58,16.775105911915023
59,e,sub-103,krk,eo,59,17.870200053107933
60,e,sub-103,krk,eo,60,17.559863931540495
61,e,sub-103,krk,eo,61,16.19427292864117
62,e,sub-103,krk,eo,62,16.57104060059462
63,e,sub-103,krk,eo,63,17.09415589298308
64,e,sub-103,krk,eo,64,16.996023522669713
65,e,sub-103,krk,eo,65,16.343965680022556
66,e,sub-103,krk,eo,66,15.54169645260236
67,e,sub-103,krk,eo,67,15.540632696187814
68,e,sub-103,krk,eo,68,18.45520709662378
69,e,sub-103,krk,eo,69,16.200162510141894
70,e,sub-103,krk,eo,70,17.81906908766767
71,e,sub-103,krk,eo,71,27.485866475379588
0,e,sub-104,krk,ec,0,18.049546281192978
1,e,sub-104,krk,ec,1,20.214435807099864
2,e,sub-104,krk,ec,2,21.370397484474008
3,e,sub-104,krk,ec,3,17.926320186522155
4,e,sub-104,krk,ec,4,17.637896902014628
5,e,sub-104,krk,ec,5,17.04004834879759
6,e,sub-104,krk,ec,6,16.519670065324355
7,e,sub-104,krk,ec,7,15.642927133317896
8,e,sub-104,krk,ec,8,16.539655819876348
9,e,sub-104,krk,ec,9,15.65204775308266
10,e,sub-104,krk,ec,10,17.311645642843025
11,e,sub-104,krk,ec,11,16.413961497057237
12,e,sub-104,krk,ec,12,16.130037058306883
13,e,sub-104,krk,ec,13,16.26932181940634
14,e,sub-104,krk,ec,14,16.126931701585143
15,e,sub-104,krk,ec,15,15.982244062202767
16,e,sub-104,krk,ec,16,16.132460837376442
17,e,sub-104,krk,ec,17,16.86786335566966
18,e,sub-104,krk,ec,18,16.28703998050386
19,e,sub-104,krk,ec,19,15.897892855608728
20,e,sub-104,krk,ec,20,16.278672534507635
21,e,sub-104,krk,ec,21,16.6200036228187
22,e,sub-104,krk,ec,22,16.772689177991676
23,e,sub-104,krk,ec,23,15.51138018574678
24,e,sub-104,krk,ec,24,16.09408733856392
25,e,sub-104,krk,ec,25,14.984998046310706
26,e,sub-104,krk,ec,26,15.889882602795156
27,e,sub-104,krk,ec,27,15.666905216603563
28,e,sub-104,krk,ec,28,15.419541455517532
29,e,sub-104,krk,ec,29,15.867358119883681
30,e,sub-104,krk,ec,30,15.429498708725419
31,e,sub-104,krk,ec,31,15.569994955395687
32,e,sub-104,krk,ec,32,15.450958431172966
33,e,sub-104,krk,ec,33,15.701969358636159
34,e,sub-104,krk,ec,34,15.794505069779998
35,e,sub-104,krk,ec,35,15.824759627274954
36,e,sub-104,krk,ec,36,16.660732981991305
37,e,sub-104,krk,ec,37,15.393955824562864
38,e,sub-104,krk,ec,38,15.741231640504285
39,e,sub-104,krk,ec,39,15.574737650654779
40,e,sub-104,krk,ec,40,19.865498276312
41,e,sub-104,krk,ec,41,15.477317311432827
42,e,sub-104,krk,ec,42,15.389257034927178
43,e,sub-104,krk,ec,43,15.104948913959301
44,e,sub-104,krk,ec,44,29.059972370180127
45,e,sub-104,krk,ec,45,23.40224893112868
46,e,sub-104,krk,ec,46,16.749790160147633
47,e,sub-104,krk,ec,47,16.854504741046657
48,e,sub-104,krk,ec,48,16.22791661334723
49,e,sub-104,krk,ec,49,15.952148261103506
50,e,sub-104,krk,ec,50,16.03267073401596
51,e,sub-104,krk,ec,51,16.52245831373322
52,e,sub-104,krk,ec,52,17.165415765766685
53,e,sub-104,krk,ec,53,16.318477226057283
54,e,sub-104,krk,ec,54,17.481759679850637
55,e,sub-104,krk,ec,55,16.91822185156156
56,e,sub-104,krk,ec,56,16.637163766425658
57,e,sub-104,krk,ec,57,16.48494981507906
58,e,sub-104,krk,ec,58,17.949882280409202
59,e,sub-104,krk,ec,59,17.967050135949815
60,e,sub-104,krk,ec,60,18.3022886057414
61,e,sub-104,krk,ec,61,16.01866084439815
62,e,sub-104,krk,ec,62,16.239678543015746
63,e,sub-104,krk,ec,63,16.236222983631215
64,e,sub-104,krk,ec,64,15.511000411843902
65,e,sub-104,krk,ec,65,16.117155844466964
66,e,sub-104,krk,ec,66,16.102311774649017
67,e,sub-104,krk,ec,67,16.411043921945314
68,e,sub-104,krk,ec,68,15.826362547329726
69,e,sub-104,krk,ec,69,15.068767976258057
70,e,sub-104,krk,ec,70,15.370432840527885
71,e,sub-104,krk,ec,71,16.134310413811516
72,e,sub-104,krk,ec,72,15.03502574589524
0,e,sub-104,krk,eo,0,16.994809980916518
1,e,sub-104,krk,eo,1,18.275287559647452
2,e,sub-104,krk,eo,2,17.579371160406673
3,e,sub-104,krk,eo,3,17.264338406339878
4,e,sub-104,krk,eo,4,17.642051374512196
5,e,sub-104,krk,eo,5,17.570690272737778
6,e,sub-104,krk,eo,6,16.686492475901417
7,e,sub-104,krk,eo,7,16.12169545163864
8,e,sub-104,krk,eo,8,17.598057838842376
9,e,sub-104,krk,eo,9,16.153795772923264
10,e,sub-104,krk,eo,10,17.20436093812641
11,e,sub-104,krk,eo,11,16.651295092008848
12,e,sub-104,krk,eo,12,15.581838831116153
